cruise_id,year,brief_desc,haul_id,lat,lon,yrday0_local,day_local,month_local,time_local,length_day,temp_avg,sal_avg,sigma_t_avg,depth_w,depth_tow_max,common_name,sample,length,size_class,prot_total,RNA,DNA,growth,RNA_DNA,prot_predicted
AL9306,1993,process,3,40.8,-68,138,19,5,728,15.62,6.44,32.43,25.49,69,59.00,Atlantic_cod,5,8.34245,3,579.19,69.07,14.65,0.124,4.72,305.64
AL9306,1993,process,3,40.8,-68,138,19,5,728,15.62,6.44,32.43,25.49,69,59.00,Atlantic_cod,7,7.87592,3,322.18,36.54,7.77,0.123,4.70,163.48
AL9306,1993,process,3,40.8,-68,138,19,5,728,15.62,6.44,32.43,25.49,69,59.00,haddock,2,7.17796,3,215.68,29.97,5.95,0.138,5.04,115.86
AL9306,1993,process,3,40.8,-68,138,19,5,728,15.62,6.44,32.43,25.49,69,59.00,haddock,4,7.5245,3,403.88,58.20,12.90,0.115,4.51,254.81
AL9306,1993,process,3,40.8,-68,138,19,5,728,15.62,6.44,32.43,25.49,69,59.00,haddock,8,8.7023,3,472.57,74.21,15.85,0.122,4.68,314.03
AL9306,1993,process,3,40.8,-68,138,19,5,728,15.62,6.44,32.43,25.49,69,59.00,haddock,9,7.92185,3,303.41,53.49,12.33,0.107,4.34,243.45
AL9306,1993,process,3,40.8,-68,138,19,5,728,15.62,6.44,32.43,25.49,69,59.00,haddock,10,5.95249,2,132.66,18.73,4.35,0.105,4.31,83.78
AL9306,1993,process,3,40.8,-68,138,19,5,728,15.62,6.44,32.43,25.49,69,59.00,haddock,11,6.64002,2,139.01,21.85,4.20,0.145,5.20,80.92
AL9306,1993,process,3,40.8,-68,138,19,5,728,15.62,6.44,32.43,25.49,69,59.00,haddock,12,6.33741,2,186.07,32.35,6.97,0.120,4.64,136.18
AL9306,1993,process,4,40.82,-67.78,138,19,5,932,15.62,6.4,32.5,25.55,69,63.00,Atlantic_cod,14,7.73348,3,253.00,38.22,8.64,0.110,4.42,181.60
AL9306,1993,process,4,40.82,-67.78,138,19,5,932,15.62,6.4,32.5,25.55,69,63.00,Atlantic_cod,17,7.32147,3,252.50,39.58,9.27,0.103,4.27,194.43
AL9306,1993,process,4,40.82,-67.78,138,19,5,932,15.62,6.4,32.5,25.55,69,63.00,Atlantic_cod,19,6.31661,2,176.39,26.55,5.10,0.145,5.21,108.26
AL9306,1993,process,4,40.82,-67.78,138,19,5,932,15.62,6.4,32.5,25.55,69,63.00,Atlantic_cod,20,6.9355,3,241.74,36.34,8.05,0.114,4.51,169.31
AL9306,1993,process,4,40.82,-67.78,138,19,5,932,15.62,6.4,32.5,25.55,69,63.00,Atlantic_cod,21,6.75465,3,253.57,42.90,9.48,0.115,4.53,198.76
AL9306,1993,process,4,40.82,-67.78,138,19,5,932,15.62,6.4,32.5,25.55,69,63.00,Atlantic_cod,22,6.79743,3,225.61,33.95,6.15,0.159,5.52,130.09
AL9306,1993,process,4,40.82,-67.78,138,19,5,932,15.62,6.4,32.5,25.55,69,63.00,Atlantic_cod,27,7.43889,3,637.12,47.25,9.37,0.138,5.04,196.67
AL9306,1993,process,4,40.82,-67.78,138,19,5,932,15.62,6.4,32.5,25.55,69,63.00,Atlantic_cod,29,6.95221,3,242.05,45.62,10.93,0.099,4.17,228.84
AL9306,1993,process,4,40.82,-67.78,138,19,5,932,15.62,6.4,32.5,25.55,69,63.00,Atlantic_cod,30,6.91836,2,173.48,33.94,7.53,0.114,4.51,158.61
AL9306,1993,process,4,40.82,-67.78,138,19,5,932,15.62,6.4,32.5,25.55,69,63.00,Atlantic_cod,31,8.06667,3,500.91,73.24,15.01,0.131,4.88,313.17
AL9306,1993,process,4,40.82,-67.78,138,19,5,932,15.62,6.4,32.5,25.55,69,63.00,Atlantic_cod,32,8.09894,3,443.25,67.34,14.38,0.122,4.68,300.15
AL9306,1993,process,4,40.82,-67.78,138,19,5,932,15.62,6.4,32.5,25.55,69,63.00,Atlantic_cod,33,6.96512,3,240.53,43.23,9.35,0.119,4.62,196.26
AL9306,1993,process,4,40.82,-67.78,138,19,5,932,15.62,6.4,32.5,25.55,69,63.00,Atlantic_cod,34,8.22722,3,386.96,35.65,6.51,0.157,5.47,137.57
AL9306,1993,process,4,40.82,-67.78,138,19,5,932,15.62,6.4,32.5,25.55,69,63.00,Atlantic_cod,35,nd,3,387.00,57.79,13.38,0.105,4.32,279.50
AL9306,1993,process,4,40.82,-67.78,138,19,5,932,15.62,6.4,32.5,25.55,69,63.00,Atlantic_cod,36,8.2813,2,147.63,21.86,5.19,0.101,4.21,110.22
AL9306,1993,process,4,40.82,-67.78,138,19,5,932,15.62,6.4,32.5,25.55,69,63.00,haddock,18,8.26734,3,442.86,60.25,13.56,0.111,4.44,268.08
AL9306,1993,process,4,40.82,-67.78,138,19,5,932,15.62,6.4,32.5,25.55,69,63.00,haddock,24,7.0325,3,227.89,43.57,11.40,0.083,3.82,224.99
AL9306,1993,process,4,40.82,-67.78,138,19,5,932,15.62,6.4,32.5,25.55,69,63.00,haddock,37,7.46723,3,217.32,43.15,8.76,0.133,4.92,172.09
AL9306,1993,process,4,40.82,-67.78,138,19,5,932,15.62,6.4,32.5,25.55,69,63.00,haddock,38,8.14292,3,425.71,58.21,12.22,0.125,4.76,241.31
AL9306,1993,process,4,40.82,-67.78,138,19,5,932,15.62,6.4,32.5,25.55,69,63.00,haddock,39,6.34486,3,252.37,36.07,9.38,0.084,3.84,184.50
AL9306,1993,process,5,40.88,-67.58,138,19,5,1038,15.62,6.59,32.61,25.62,73,61.00,Atlantic_cod,40,7.54412,3,339.05,39.88,9.90,0.094,4.03,207.48
AL9306,1993,process,5,40.88,-67.58,138,19,5,1038,15.62,6.59,32.61,25.62,73,61.00,Atlantic_cod,42,8.29794,3,467.05,61.48,12.51,0.134,4.91,261.53
AL9306,1993,process,5,40.88,-67.58,138,19,5,1038,15.62,6.59,32.61,25.62,73,61.00,Atlantic_cod,43,7.88541,3,386.61,50.54,11.04,0.119,4.58,231.12
AL9306,1993,process,5,40.88,-67.58,138,19,5,1038,15.62,6.59,32.61,25.62,73,61.00,Atlantic_cod,44,7.90551,3,537.78,57.54,12.68,0.117,4.54,264.95
AL9306,1993,process,5,40.88,-67.58,138,19,5,1038,15.62,6.59,32.61,25.62,73,61.00,Atlantic_cod,47,7.48394,3,238.51,40.42,9.22,0.110,4.38,193.48
AL9306,1993,process,5,40.88,-67.58,138,19,5,1038,15.62,6.59,32.61,25.62,73,61.00,Atlantic_cod,48,7.24277,3,270.81,42.40,10.13,0.101,4.19,212.32
AL9306,1993,process,5,40.88,-67.58,138,19,5,1038,15.62,6.59,32.61,25.62,73,61.00,Atlantic_cod,49,8.30005,3,704.05,79.06,17.78,0.113,4.45,370.45
AL9306,1993,process,5,40.88,-67.58,138,19,5,1038,15.62,6.59,32.61,25.62,73,61.00,Atlantic_cod,51,8.50347,3,430.97,59.43,13.11,0.117,4.53,273.83
AL9306,1993,process,6,41.02,-67.43,138,19,5,1202,15.62,6.01,32.73,25.78,67,62.00,Atlantic_cod,57,2.85221,1,7.37,1.64,0.47,0.064,3.47,12.69
AL9306,1993,process,6,41.02,-67.43,138,19,5,1202,15.62,6.01,32.73,25.78,67,62.00,Atlantic_cod,58,6.33278,3,197.99,30.91,6.75,0.114,4.58,142.35
AL9306,1993,process,6,41.02,-67.43,138,19,5,1202,15.62,6.01,32.73,25.78,67,62.00,Atlantic_cod,59,7.80675,3,257.31,43.06,7.00,0.185,6.16,147.51
AL9306,1993,process,6,41.02,-67.43,138,19,5,1202,15.62,6.01,32.73,25.78,67,62.00,Atlantic_cod,61,2.68995,1,21.10,2.55,0.84,0.045,3.04,20.23
AL9306,1993,process,7,41.1,-67.23,138,19,5,1314,15.62,5.39,32.51,25.68,62,56.00,Atlantic_cod,66,4.44863,2,52.68,17.17,4.26,0.083,4.03,90.96
